sample_id	genotype_id	sex	cell_type	condition	qtl_group	timepoint	read_length	stranded	paired	protocol	rna_qc_passed	genotype_qc_passed	study	biosample_id	population_code	population_name	superpopulation_code	superpopulation_name
ERR188209	NA19214	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125386	YRI	Yoruba	AFR	African
ERR188211	NA19175	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124887	YRI	Yoruba	AFR	African
ERR188214	NA18486	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124099	YRI	Yoruba	AFR	African
ERR188221	NA19113	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123838	YRI	Yoruba	AFR	African
ERR188223	NA18908	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123560	YRI	Yoruba	AFR	African
ERR188225	NA19152	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123017	YRI	Yoruba	AFR	African
ERR188232	NA19160	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123758	YRI	Yoruba	AFR	African
ERR188234	NA19116	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124911	YRI	Yoruba	AFR	African
ERR188243	NA19098	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123633	YRI	Yoruba	AFR	African
ERR188261	NA19108	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125378	YRI	Yoruba	AFR	African
ERR188268	NA19095	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123170	YRI	Yoruba	AFR	African
ERR188269	NA18916	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123408	YRI	Yoruba	AFR	African
ERR188273	NA18505	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125062	YRI	Yoruba	AFR	African
ERR188275	NA19201	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122990	YRI	Yoruba	AFR	African
ERR188278	NA18861	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124905	YRI	Yoruba	AFR	African
ERR188283	NA18907	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123563	YRI	Yoruba	AFR	African
ERR188284	NA19223	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125223	YRI	Yoruba	AFR	African
ERR188292	NA19189	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123869	YRI	Yoruba	AFR	African
ERR188298	NA18867	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124904	YRI	Yoruba	AFR	African
ERR188306	NA19138	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125236	YRI	Yoruba	AFR	African
ERR188311	NA18488	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124103	YRI	Yoruba	AFR	African
ERR188313	NA18873	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123536	YRI	Yoruba	AFR	African
ERR188322	NA19190	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124041	YRI	Yoruba	AFR	African
ERR188344	NA18868	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124910	YRI	Yoruba	AFR	African
ERR188352	NA18909	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123561	YRI	Yoruba	AFR	African
ERR188363	NA19206	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122983	YRI	Yoruba	AFR	African
ERR188364	NA19248	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123681	YRI	Yoruba	AFR	African
ERR188365	NA19117	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124914	YRI	Yoruba	AFR	African
ERR188367	NA19102	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125112	YRI	Yoruba	AFR	African
ERR188373	NA18870	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125101	YRI	Yoruba	AFR	African
ERR188375	NA18858	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124730	YRI	Yoruba	AFR	African
ERR188390	NA19235	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125002	YRI	Yoruba	AFR	African
ERR188392	NA19210	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125383	YRI	Yoruba	AFR	African
ERR188409	NA18923	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123205	YRI	Yoruba	AFR	African
ERR188421	NA19225	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125218	YRI	Yoruba	AFR	African
ERR188422	NA19172	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124420	YRI	Yoruba	AFR	African
ERR188423	NA19107	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123393	YRI	Yoruba	AFR	African
